Species_abbr	Species_class	Name	Total_Genes	KEGG	Reactome	Biocyc	Panther	GO	Genes_with_KEGG_annotation	Genes_with_Reactome_annotation	Genes_with_BioCyc_aanotation	Genes_with_Panther_annotation	Genes_with_GO_annotation
cvr	Plants	Chlorella variabilis	9957	123	0	0	0	0	2130	0	0	0	0
rbp	Bacteria	Ruminococcaceae bacterium CPB6	2047	86	0	0	0	0	588	0	0	0	0
rbo	Bacteria	Rickettsia bellii OSU 85-389	1511	79	0	0	0	0	423	0	0	0	0
cvo	Bacteria	Campylobacter volucris	1553	87	0	0	0	0	690	0	0	0	0
rbm	Bacteria	Rhizobiales bacterium NRL2	4406	122	0	0	0	0	1342	0	0	0	0
rbl	Bacteria	Rhodobacter blasticus	3588	115	0	0	0	0	1269	0	0	0	0
eus	Plants	Eutrema salsugineum	26653	138	0	0	0	0	5207	0	0	0	0
rbi	Bacteria	Robiginitalea biformata	3259	107	0	0	0	0	765	0	0	0	0
cvi	Bacteria	Chromobacterium violaceum	4529	118	0	0	0	0	1447	0	0	0	0
rbg	Bacteria	Rhodobaca barguzinensis	3734	115	0	0	0	0	1305	0	0	0	0
rbe	Bacteria	Rickettsia bellii RML369-C	1469	81	0	0	0	0	439	0	0	0	0
rbc	Bacteria	Mucinivorans hirudinis	3060	91	0	0	0	0	647	0	0	0	0
cvc	Bacteria	Chromobacterium vaccinii	4656	117	0	0	0	0	1416	0	0	0	0
rba	Bacteria	Rhodopirellula baltica	7405	114	0	0	0	0	1053	0	0	0	0
cva	Bacteria	Corynebacterium variabile	3131	111	0	0	0	0	898	0	0	0	0
cpsm	Bacteria	Chlamydia psittaci M56	1090	72	0	0	0	0	425	0	0	0	0
cpsn	Bacteria	Chlamydia psittaci NJ1	1093	72	0	0	0	0	428	0	0	0	0
cpsi	Bacteria	Chlamydia psittaci MN	1084	71	0	0	0	0	427	0	0	0	0
cpsd	Bacteria	Chlamydia psittaci 01DC12	1015	71	0	0	0	0	424	0	0	0	0
cpse	Bacteria	Corynebacterium pseudotuberculosis 48252	2288	103	0	0	0	0	783	0	0	0	0
cpsf	Bacteria	Corynebacterium pseudotuberculosis Ft_2193/67	2303	104	0	0	0	0	781	0	0	0	0
cpsg	Bacteria	Chlamydia psittaci GR9	1083	72	0	0	0	0	424	0	0	0	0
cpsa	Bacteria	Chlamydia psittaci Mat116	1058	72	0	0	0	0	426	0	0	0	0
cpsb	Bacteria	Chlamydia psittaci 84/55	1168	72	0	0	0	0	442	0	0	0	0
cpsc	Bacteria	Chlamydia psittaci CP3	1165	71	0	0	0	0	443	0	0	0	0
cpst	Bacteria	Chlamydia psittaci WS/RT/E30	1093	72	0	0	0	0	428	0	0	0	0
cpsu	Bacteria	Corynebacterium pseudotuberculosis CS_10	2293	103	0	0	0	0	784	0	0	0	0
cpsv	Bacteria	Chlamydia psittaci VS225	1157	72	0	0	0	0	444	0	0	0	0
cpsw	Bacteria	Chlamydia psittaci WC	1095	72	0	0	0	0	431	0	0	0	0
cby	Bacteria	Clostridium botulinum A2	4035	96	0	0	0	0	1003	0	0	0	0
zga	Bacteria	Zobellia galactanivorans	4784	111	0	0	0	0	966	0	0	0	0
balm	Bacteria	Bacillus sp. LM 4-2	4265	116	0	0	0	0	1362	0	0	0	0
phh	Bacteria	Pseudonocardia sp. HH130630-07	6261	128	0	0	0	0	1377	0	0	0	0
pho	Archaea	Pyrococcus horikoshii	2118	89	0	0	0	0	554	0	0	0	0
phn	Bacteria	Paenalcaligenes hominis	2655	111	0	0	0	0	793	0	0	0	0
phm	Bacteria	Phycisphaera mikurensis	3336	104	0	0	0	0	876	0	0	0	0
phl	Bacteria	Pelagibacterium halotolerans	3940	114	0	0	0	0	1297	0	0	0	0
phc	Bacteria	Planococcus halocryophilus	3362	112	0	0	0	0	1102	0	0	0	0
phb	Bacteria	Phenylobacterium sp. HYN0004	2669	118	0	0	0	0	871	0	0	0	0
pha	Bacteria	Pseudoalteromonas haloplanktis	3621	117	0	0	0	0	1138	0	0	0	0
phe	Bacteria	Pedobacter heparinus	4339	112	0	0	0	0	880	0	0	0	0
phd	Animals	Pantholops hodgsonii (chiru)	26505	329	0	0	0	0	8209	0	0	0	0
phz	Bacteria	Porphyrobacter sp. HT-58-2	3102	118	0	0	0	0	920	0	0	0	0
phy	Bacteria	Pseudothermotoga hypogea	2168	88	0	0	0	0	764	0	0	0	0
pprf	Bacteria	Pseudodesulfovibrio profundus	4144	98	0	0	0	0	990	0	0	0	0
phs	Bacteria	Paraburkholderia hospita	10603	128	0	0	0	0	2627	0	0	0	0
phr	Bacteria	Phreatobacter sp. S-12	4319	122	0	0	0	0	1423	0	0	0	0
phq	Bacteria	Phaeobacter sp. LSS9	3799	114	0	0	0	0	1271	0	0	0	0
balt	Bacteria	Bacillus altitudinis	3943	112	0	0	0	0	1263	0	0	0	0
ppro	Bacteria	Pseudomonas protegens Cab57	6270	123	0	0	0	0	1944	0	0	0	0
phu	Animals	Pediculus humanus corporis (human body louse)	10773	136	0	0	0	0	2554	0	0	0	0
pht	Bacteria	Phyllobacterium zundukense	6043	121	0	0	0	0	1822	0	0	0	0
phau	Bacteria	Proteus hauseri	3622	110	0	0	0	0	1161	0	0	0	0
ofo	Bacteria	Oxalobacter formigenes	2292	102	0	0	0	0	693	0	0	0	0
wed	Bacteria	Wolbachia wNo (Drosophila simulans)	1168	71	0	0	0	0	431	0	0	0	0
weo	Bacteria	Wolbachia wFol (Folsomia candida)	1649	70	0	0	0	0	391	0	0	0	0
wen	Bacteria	Wolbachia wHa (Drosophila simulans)	1145	71	0	0	0	0	434	0	0	0	0
nvr	Archaea	Natrinema versiforme	4589	105	0	0	0	0	979	0	0	0	0
nve	Animals	Nematostella vectensis (sea anemone)	24773	129	0	0	33	0	2413	0	0	40	0
kps	Bacteria	Klebsiella pneumoniae 30684/NJST258_2	5702	118	0	0	0	0	1897	0	0	0	0
nvn	Archaea	Nitrososphaera viennensis	3187	93	0	0	0	0	633	0	0	0	0
nvl	Animals	Nicrophorus vespilloides	12949	137	0	0	0	0	3039	0	0	0	0
nvi	Animals	Nasonia vitripennis (jewel wasp)	14209	136	0	0	0	0	2530	0	0	0	0
mhn	Bacteria	Mycoplasma hyopneumoniae 168	741	49	0	0	0	0	285	0	0	0	0
mho	Bacteria	Mycoplasma hominis ATCC 23114	577	42	0	0	0	0	244	0	0	0	0
mhl	Bacteria	Candidatus Mycoplasma haemolamae	961	38	0	0	0	0	206	0	0	0	0
mhm	Bacteria	Mycoplasma hyorhinis MCLD	811	51	0	0	0	0	282	0	0	0	0
mhj	Bacteria	Mycoplasma hyopneumoniae J	720	49	0	0	0	0	275	0	0	0	0
mhk	Archaea	Metallosphaera hakonensis JCM 8857 = DSM 7519	2620	96	0	0	0	0	617	0	0	0	0
mhh	Bacteria	Mycoplasma hyorhinis GDL-1	741	51	0	0	0	0	280	0	0	0	0
mhi	Archaea	Methanosaeta harundinacea	2414	91	0	0	0	0	711	0	0	0	0
mhf	Bacteria	Mycoplasma haemofelis Ohio2	1583	39	0	0	0	0	201	0	0	0	0
mhg	Bacteria	Megamonas hypermegale	2173	92	0	0	0	0	761	0	0	0	0
mhd	Bacteria	Marinithermus hydrothermalis	2310	102	0	0	0	0	864	0	0	0	0
mhe	Bacteria	Mycoplasma haemocanis	1209	38	0	0	0	0	201	0	0	0	0
mhb	Bacteria	Candidatus Mycoplasma haemominutum	582	35	0	0	0	0	191	0	0	0	0
mhc	Bacteria	Marinobacter hydrocarbonoclasticus ATCC 49840	3863	116	0	0	0	0	1197	0	0	0	0
mha	Bacteria	Mycoplasma haemofelis Langford 1	1579	38	0	0	0	0	202	0	0	0	0
mhz	Archaea	Methanomethylovorans hollandica	2726	92	0	0	0	0	745	0	0	0	0
mhx	Bacteria	Mannheimia haemolytica M42548	2858	100	0	0	0	0	935	0	0	0	0
mhy	Bacteria	Mycoplasma hyopneumoniae 232	727	49	0	0	0	0	277	0	0	0	0
mhv	Bacteria	Mycoplasma hyorhinis DBS 1050	782	51	0	0	0	0	283	0	0	0	0
mhw	Bacteria	Megasphaera hexanoica	2750	94	0	0	0	0	796	0	0	0	0
mht	Bacteria	Mannheimia haemolytica USDA-ARS-USMARC-185	2530	99	0	0	0	0	866	0	0	0	0
mhu	Archaea	Methanospirillum hungatei	3304	90	0	0	0	0	804	0	0	0	0
mhr	Bacteria	Mycoplasma hyorhinis HUB-1	711	50	0	0	0	0	274	0	0	0	0
mhs	Bacteria	Mycoplasma hyorhinis SK76	786	51	0	0	0	0	281	0	0	0	0
mhp	Bacteria	Mycoplasma hyopneumoniae 7448	746	49	0	0	0	0	276	0	0	0	0
mhq	Bacteria	Mannheimia haemolytica USDA-ARS-USMARC-183	2704	100	0	0	0	0	869	0	0	0	0
vsp	Bacteria	Vibrio tasmaniensis	4602	113	0	0	0	0	1450	0	0	0	0
halb	Archaea	Halorubrum sp. BOL3-1	3612	102	0	0	0	0	820	0	0	0	0
vsa	Bacteria	Aliivibrio salmonicida	4449	109	0	0	0	0	1230	0	0	0	0
vsc	Bacteria	Vibrio scophthalmi	4607	110	0	0	0	0	1298	0	0	0	0
vsh	Bacteria	Vibrio mediterranei	5343	117	0	0	0	0	1695	0	0	0	0
llf	Bacteria	Leuconostoc lactis	1750	95	0	0	0	0	726	0	0	0	0
samy	Bacteria	Sandaracinus amylolyticus	9023	124	0	0	0	0	1256	0	0	0	0
krh	Bacteria	Kocuria rhizophila	2413	103	0	0	0	0	832	0	0	0	0
kro	Bacteria	Ketogulonicigenium robustum	2761	107	0	0	0	0	1027	0	0	0	0
kra	Bacteria	Kineococcus radiotolerans	4778	114	0	0	0	0	1061	0	0	0	0
krd	Bacteria	Kosakonia radicincitans	5275	119	0	0	0	0	1959	0	0	0	0
yro	Bacteria	Yersinia rohdei	3889	115	0	0	0	0	1562	0	0	0	0
yrb	Bacteria	Yersinia ruckeri Big Creek 74 (serotype O2)	3321	114	0	0	0	0	1331	0	0	0	0
yru	Bacteria	Yersinia ruckeri YRB	3248	115	0	0	0	0	1326	0	0	0	0
mcn	Archaea	Metallosphaera cuprina	2077	96	0	0	0	0	635	0	0	0	0
lpap	Bacteria	Lactobacillus paracasei subsp. paracasei JCM 8130	2948	103	0	0	0	0	817	0	0	0	0
ini	Plants	Ipomoea nil (Japanese morning glory)	40166	138	0	0	0	0	6181	0	0	0	0
hpz	Bacteria	Helicobacter pylori 52	1480	93	0	0	0	0	607	0	0	0	0
hpy	Bacteria	Helicobacter pylori 26695	1555	94	0	148	0	0	651	0	281	0	0
hpx	Bacteria	Helicobacter pylori 83	1656	93	0	0	0	0	631	0	0	0	0
hps	Bacteria	Helicobacter pylori Shi470	1648	94	0	0	0	0	659	0	0	0	0
hpr	Bacteria	Haemophilus parainfluenzae	1991	92	0	0	0	0	746	0	0	0	0
hpq	Bacteria	Helicobacter pylori 2017	1647	93	0	0	0	0	620	0	0	0	0
hpp	Bacteria	Helicobacter pylori P12	1635	94	0	0	0	0	654	0	0	0	0
hpw	Bacteria	Helicobacter pylori 2018	1655	93	0	0	0	0	620	0	0	0	0
hpv	Bacteria	Helicobacter pylori v225d	1634	91	0	0	0	0	617	0	0	0	0
hpu	Bacteria	Helicobacter pylori Cuz20	1606	91	0	0	0	0	624	0	0	0	0
hpt	Bacteria	Helicobacter pylori Sat464	1550	93	0	0	0	0	622	0	0	0	0
hpk	Bacteria	Halanaerobium praevalens	2180	97	0	0	0	0	814	0	0	0	0
hpj	Bacteria	Helicobacter pylori J99	1495	88	0	0	0	0	609	0	0	0	0
hpi	Bacteria	Helicobacter pylori 908	1646	93	0	0	0	0	619	0	0	0	0
hph	Bacteria	Helicobacter pylori Lithuania75	1607	93	0	0	0	0	625	0	0	0	0
hpo	Bacteria	Helicobacter pylori 35A	1560	93	0	0	0	0	611	0	0	0	0
hpn	Bacteria	Helicobacter pylori India7	1638	93	0	0	0	0	619	0	0	0	0
hpm	Bacteria	Helicobacter pylori SJM180	1623	93	0	0	0	0	628	0	0	0	0
hpl	Bacteria	Helicobacter pylori B8	1762	93	0	0	0	0	663	0	0	0	0
hpc	Bacteria	Helicobacter pylori PeCan4	1605	93	0	0	0	0	625	0	0	0	0
hpb	Bacteria	Helicobacter pylori B38	1573	92	0	0	0	0	626	0	0	0	0
hpa	Bacteria	Helicobacter pylori HPAG1	1586	94	0	0	0	0	658	0	0	0	0
metm	Archaea	Methanosarcina sp. MTP4	3314	94	0	0	0	0	853	0	0	0	0
hpg	Bacteria	Helicobacter pylori G27	1581	92	0	0	0	0	649	0	0	0	0
hpf	Bacteria	Helicobacter pylori F30	1527	93	0	0	0	0	625	0	0	0	0
hpe	Bacteria	Helicobacter pylori ELS37	1618	93	0	0	0	0	620	0	0	0	0
hpd	Bacteria	Helicobacter pylori 51	1495	91	0	0	0	0	613	0	0	0	0
rez	Bacteria	Rhizobium esperanzae	6261	121	0	0	0	0	1890	0	0	0	0
eoc	Bacteria	Escherichia coli O7:K1 CE10	5269	119	0	0	0	0	1730	0	0	0	0
eok	Bacteria	Escherichia coli O55:H7 CB9615 (EPEC)	5371	120	0	0	0	0	1744	0	0	0	0
eoj	Bacteria	Escherichia coli O26:H11 11368 (EHEC)	5989	120	0	0	0	0	1779	0	0	0	0
eoi	Bacteria	Escherichia coli O111:H- 11128 (EHEC)	5935	120	0	0	0	0	1782	0	0	0	0
eoh	Bacteria	Escherichia coli O103:H2 12009 (EHEC)	5545	120	0	0	0	0	1745	0	0	0	0
eol	Bacteria	Emticicia oligotrophica	4365	116	0	0	0	0	923	0	0	0	0
pto	Archaea	Picrophilus torridus	1582	100	0	0	0	0	572	0	0	0	0
alo	Bacteria	Alloactinosynnema sp. L-07	7342	129	0	0	0	0	1282	0	0	0	0
ptm	Protists	Paramecium tetraurelia	40044	101	0	0	0	0	3713	0	0	0	0
baph	Bacteria	Buchnera aphidicola (Aphis glycines)	612	76	0	0	0	0	386	0	0	0	0
bamp	Bacteria	Bacillus velezensis AS43.3	3979	116	0	0	0	0	1291	0	0	0	0
spet	Bacteria	Staphylococcus pettenkoferi	2384	97	0	0	0	0	852	0	0	0	0
pth	Bacteria	Pelotomaculum thermopropionicum	2977	98	0	0	0	0	795	0	0	0	0
spen	Plants	Solanum pennellii	28569	136	0	0	0	0	5335	0	0	0	0
rei	Bacteria	Rhizobium sp. IE4771	6895	124	0	0	0	0	2102	0	0	0	0
ptd	Bacteria	Pseudoalteromonas tetraodonis	3928	114	0	0	0	0	1035	0	0	0	0
cwo	Bacteria	Conexibacter woesei	6001	119	0	0	0	0	1398	0	0	0	0
bapg	Bacteria	Buchnera aphidicola G002 (Myzus persicae)	621	76	0	0	0	0	423	0	0	0	0
alc	Bacteria	Acinetobacter lactucae	3778	119	0	0	0	0	1087	0	0	0	0
cwa	Bacteria	Crocosphaera watsonii	5996	112	0	0	0	0	1009	0	0	0	0
cmo	Plants	Cucumis melo (muskmelon)	21709	137	0	0	0	0	4222	0	0	0	0
cmn	Bacteria	Chlamydia muridarum Nigg 2 MCR	937	71	0	0	0	0	413	0	0	0	0
cmm	Bacteria	Chlamydia muridarum Nigg3 clone G0.1.1	934	71	0	0	0	0	414	0	0	0	0
cml	Bacteria	Carnobacterium maltaromaticum	3659	103	0	0	0	0	1014	0	0	0	0
cmk	Animals	Callorhinchus milii (elephant shark)	19676	167	0	0	0	0	5306	0	0	0	0
cmj	Bacteria	Cronobacter malonaticus LMG 23826	4170	117	0	0	0	0	1515	0	0	0	0
cmi	Bacteria	Clavibacter michiganensis subsp. michiganensis	3163	112	0	0	0	0	873	0	0	0	0
cmh	Bacteria	Clavibacter michiganensis subsp. insidiosus	3241	113	0	0	0	0	840	0	0	0	0
cmg	Bacteria	Chlamydia muridarum Nigg3 clone G28.38.1	938	71	0	0	0	0	414	0	0	0	0
cme	Plants	Cyanidioschyzon merolae	5616	116	0	0	0	0	1434	0	0	0	0
cmd	Bacteria	Corynebacterium maris	2653	110	0	0	0	0	864	0	0	0	0
cmc	Bacteria	Clavibacter michiganensis subsp. nebraskensis	2936	112	0	0	0	0	846	0	0	0	0
cmb	Bacteria	Caulobacter mirabilis	4343	119	0	0	0	0	1065	0	0	0	0
cma	Archaea	Caldivirga maquilingensis	2045	99	0	0	0	0	607	0	0	0	0
cmz	Bacteria	Chlamydia muridarum Nigg3 CMUT3-5	972	71	0	0	0	0	415	0	0	0	0
cmy	Animals	Chelonia mydas (green sea turtle)	17960	167	0	0	0	0	5621	0	0	0	0
cmx	Bacteria	Chlamydia muridarum Nigg3	940	71	0	0	0	0	414	0	0	0	0
cmw	Bacteria	Cronobacter muytjensii	3988	118	0	0	0	0	1533	0	0	0	0
cmv	Bacteria	Corynebacterium mustelae	3182	108	0	0	0	0	826	0	0	0	0
cmu	Bacteria	Chlamydia muridarum Nigg	962	71	0	0	0	0	416	0	0	0	0
cmt	Fungi	Cordyceps militaris	9651	121	0	0	0	0	1963	0	0	0	0
cms	Bacteria	Clavibacter michiganensis subsp. sepedonicus	3299	112	0	0	0	0	829	0	0	0	0
cmr	Bacteria	Cyclobacterium marinum	5150	116	0	0	0	0	894	0	0	0	0
cmq	Bacteria	Corynebacterium marinum	2622	111	0	0	0	0	835	0	0	0	0
cmp	Bacteria	Chamaesiphon minutus	6426	115	0	0	0	0	1120	0	0	0	0
cher	Bacteria	Candidatus Cardinium hertigii	1017	51	0	0	0	0	249	0	0	0	0
ptx	Bacteria	Pandoraea thiooxydans	4117	119	0	0	0	0	1390	0	0	0	0
ptv	Bacteria	Pseudomonas trivialis	5889	119	0	0	0	0	1900	0	0	0	0
chel	Bacteria	Chelatococcus sp. CO-6	4890	117	0	0	0	0	1625	0	0	0	0
ptu	Bacteria	Pseudoalteromonas tunicata	4555	117	0	0	0	0	1048	0	0	0	0
bapw	Bacteria	Buchnera aphidicola W106 (Myzus persicae)	621	76	0	0	0	0	422	0	0	0	0
als	Bacteria	Arcticibacterium luteifluviistationis	4415	110	0	0	0	0	883	0	0	0	0
alp	Bacteria	Arcobacter sp. LPB0137	2798	108	0	0	0	0	873	0	0	0	0
gli	Bacteria	Geobacillus lituanicus	3477	104	0	0	0	0	1090	0	0	0	0
glj	Bacteria	Gloeobacter kilaueensis	4562	113	0	0	0	0	992	0	0	0	0
glo	Bacteria	Geobacter lovleyi	3780	101	0	0	0	0	1026	0	0	0	0
gla	Protists	Giardia lamblia	6502	76	0	0	0	0	518	0	0	0	0
gle	Bacteria	Glaesserella sp. 15-184	2300	104	0	0	0	0	802	0	0	0	0
glz	Fungi	Glarea lozoyensis	13083	122	0	0	0	0	2117	0	0	0	0
glp	Bacteria	Gloeocapsa sp. PCC 7428	5304	117	0	0	0	0	1205	0	0	0	0
aka	Bacteria	Advenella kashmirensis	3980	113	0	0	0	0	1249	0	0	0	0
cohn	Bacteria	Cohnella sp. HS21	6311	116	0	0	0	0	1617	0	0	0	0
brz	Bacteria	Brachybacterium sp. VM2412	3404	108	0	0	0	0	995	0	0	0	0
brx	Bacteria	Brachybacterium sp. P6-10-X1	3869	115	0	0	0	0	1056	0	0	0	0
brv	Bacteria	Brachybacterium sp. VR2415	3215	107	0	0	0	0	900	0	0	0	0
bru	Bacteria	Brucella sp. 2002734562	3180	114	0	0	0	0	1180	0	0	0	0
brs	Bacteria	Bradyrhizobium sp. S23321	6951	125	0	0	0	0	1948	0	0	0	0
brq	Bacteria	Bradyrhizobium sp. 2 39S1MB	6635	125	0	0	0	0	1811	0	0	0	0
brp	Plants	Brassica rapa (field mustard)	46113	138	0	0	0	0	7958	0	0	0	0
bro	Bacteria	Bradyrhizobium sp. ORS 285	7052	124	0	0	0	0	1903	0	0	0	0
brn	Bacteria	Breoghania sp. L-A4	4589	116	0	0	0	0	1227	0	0	0	0
brm	Bacteria	Brachyspira murdochii	2894	103	0	0	0	0	766	0	0	0	0
brl	Bacteria	Brevundimonas sp. LM2	3507	117	0	0	0	0	1011	0	0	0	0
brk	Bacteria	Bradyrhizobium sp. SK17	7746	128	0	0	0	0	2024	0	0	0	0
bri	Bacteria	Brevibacterium sp. CS2	2911	110	0	0	0	0	819	0	0	0	0
brh	Bacteria	Paraburkholderia rhizoxinica	3925	116	0	0	0	0	959	0	0	0	0
brg	Bacteria	Brevundimonas sp. GW460-12-10-14-LB2	3234	112	0	0	0	0	940	0	0	0	0
bre	Bacteria	Borrelia recurrentis	1140	64	0	0	0	0	369	0	0	0	0
brd	Bacteria	Brevundimonas sp. DS20	3411	113	0	0	0	0	1016	0	0	0	0
brc	Bacteria	Bradyrhizobium sp. CCGE-LA001	7077	127	0	0	0	0	1946	0	0	0	0
brb	Bacteria	Brenneria rubrifaciens	3613	117	0	0	0	0	1362	0	0	0	0
bra	Bacteria	Bradyrhizobium sp. ORS 278	6818	125	0	0	0	0	1957	0	0	0	0
hahe	Bacteria	Hahella sp. KA22	6167	118	0	0	0	0	1460	0	0	0	0
nko	Bacteria	Niastella koreensis	7444	120	0	0	0	0	1227	0	0	0	0
nkr	Archaea	Candidatus Nitrosopumilus koreensis	1931	87	0	0	0	0	555	0	0	0	0
ert	Bacteria	Eubacterium rectale DSM 17629	2946	96	0	0	0	0	775	0	0	0	0
eru	Bacteria	Ehrlichia ruminantium Welgevonden (South Africa)	961	66	0	0	0	0	440	0	0	0	0
erw	Bacteria	Ehrlichia ruminantium Welgevonden (France)	997	66	0	0	0	0	443	0	0	0	0
tnp	Bacteria	Thermotoga naphthophila	1867	94	0	0	0	0	739	0	0	0	0
err	Bacteria	Erythrobacter sp. YH-07	3407	110	0	0	0	0	955	0	0	0	0
ers	Bacteria	Erysipelothrix rhusiopathiae SY1027	1838	83	0	0	0	0	574	0	0	0	0
ery	Bacteria	Erythrobacter sp. s21-N3	3275	117	0	0	0	0	922	0	0	0	0
erz	Bacteria	Egibacter rhizosphaerae	4244	114	0	0	0	0	1134	0	0	0	0
tne	Archaea	Pyrobaculum neutrophilum	2053	85	0	0	0	0	588	0	0	0	0
ere	Bacteria	Eubacterium rectale ATCC 33656	3703	92	0	0	0	0	838	0	0	0	0
tng	Animals	Tetraodon nigroviridis (spotted green pufferfish)	27955	167	0	0	0	0	6886	0	0	0	0
erg	Bacteria	Ehrlichia ruminantium Gardel	989	66	0	0	0	0	443	0	0	0	0
tna	Bacteria	Thermotoga neapolitana	1988	96	0	0	0	0	768	0	0	0	0
era	Bacteria	Eubacterium rectale M104/1	3267	96	0	0	0	0	796	0	0	0	0
erb	Bacteria	Erysipelotrichaceae bacterium I46	4430	96	0	0	0	0	1121	0	0	0	0
erc	Fungi	Eremothecium cymbalariae	4583	117	0	0	0	0	1784	0	0	0	0
erl	Bacteria	Erysipelothrix larvae	2346	91	0	0	0	0	694	0	0	0	0
tnl	Animals	Trichoplusia ni (cabbage looper)	16274	137	0	0	0	0	3282	0	0	0	0
ern	Bacteria	Enterobacter roggenkampii	4603	115	0	0	0	0	1584	0	0	0	0
ero	Fungi	Encephalitozoon romaleae	1836	76	0	0	0	0	575	0	0	0	0
erh	Bacteria	Erysipelothrix rhusiopathiae Fujisawa	1780	84	0	0	0	0	562	0	0	0	0
eri	Bacteria	Erysipelothrix sp. 15TAL0474	1704	76	0	0	0	0	437	0	0	0	0
erj	Bacteria	Erwinia sp. Ejp617	3769	113	0	0	0	0	1344	0	0	0	0
erk	Bacteria	Erythrobacter sp. KY5	3129	117	0	0	0	0	958	0	0	0	0
uah	Animals	Ursus arctos horribilis	26411	329	0	0	0	0	8251	0	0	0	0
far	Bacteria	Fictibacillus arsenicus	4084	113	0	0	0	0	1184	0	0	0	0
lal	Bacteria	Lacimicrobium alkaliphilum	3912	114	0	0	0	0	1135	0	0	0	0
lam	Bacteria	Lactobacillus amylovorus GRL 1112	2193	90	0	0	0	0	617	0	0	0	0
lan	Bacteria	Lacinutrix sp. 5H-3-7-4	3027	106	0	0	0	0	723	0	0	0	0
lao	Bacteria	Lentibacillus amyloliquefaciens	3798	113	0	0	0	0	1074	0	0	0	0
lah	Bacteria	Lactobacillus amylophilus	1677	79	0	0	0	0	507	0	0	0	0
lai	Bacteria	Lactobacillus acidophilus 30SC	2134	88	0	0	0	0	646	0	0	0	0
laj	Bacteria	Leptospira alstonii	4342	113	0	0	0	0	888	0	0	0	0
lak	Animals	Lingula anatina	29446	127	0	0	0	0	5025	0	0	0	0
lad	Bacteria	Lactobacillus acidophilus La-14	1957	86	0	0	0	0	657	0	0	0	0
lae	Bacteria	Lactobacillus acetotolerans	1727	79	0	0	0	0	602	0	0	0	0
laf	Bacteria	Lactobacillus acidophilus FSI4	1967	85	0	0	0	0	640	0	0	0	0
lag	Bacteria	Vibrio anguillarum M3	3882	111	0	0	0	0	1395	0	0	0	0
laa	Bacteria	Candidatus Liberibacter asiaticus gxpsy	1191	84	0	0	0	0	537	0	0	0	0
lab	Bacteria	Lysobacter antibioticus 76	5200	122	0	0	0	0	1123	0	0	0	0
lac	Bacteria	Lactobacillus acidophilus NCFM	1927	87	0	0	0	0	650	0	0	0	0
lax	Bacteria	Leclercia adecarboxylata	4445	119	0	0	0	0	1670	0	0	0	0
lay	Bacteria	Lactobacillus amylovorus GRL1118	1994	89	0	0	0	0	618	0	0	0	0
laz	Bacteria	Lelliottia amnigena	4410	116	0	0	0	0	1648	0	0	0	0
lat	Bacteria	Candidatus Liberibacter asiaticus Ishi-1	1127	84	0	0	0	0	543	0	0	0	0
lau	Bacteria	Candidatus Liberibacter africanus	1070	85	0	0	0	0	531	0	0	0	0
lav	Animals	Loxodonta africana (African savanna elephant)	23786	329	0	0	0	0	9667	0	0	0	0
law	Bacteria	Lactobacillus sp. wkB8	1841	80	0	0	0	0	689	0	0	0	0
lap	Bacteria	Labrenzia sp. CP4	5574	122	0	0	0	0	1718	0	0	0	0
laq	Bacteria	Lysobacter antibioticus ATCC 29479	5235	122	0	0	0	0	1123	0	0	0	0
lar	Bacteria	Candidatus Liberibacter americanus	1044	79	0	0	0	0	528	0	0	0	0
las	Bacteria	Candidatus Liberibacter asiaticus psy62	1162	84	0	0	0	0	529	0	0	0	0
strs	Bacteria	Streptococcus salivarius NCTC 8618	2042	96	0	0	0	0	730	0	0	0	0
strr	Bacteria	Streptomonospora sp. M2	5145	125	0	0	0	0	1156	0	0	0	0
strp	Bacteria	Streptomyces sp. PAMC 26508	7158	124	0	0	0	0	1547	0	0	0	0
strt	Bacteria	Streptomyces sp. SAT1	6345	129	0	0	0	0	1495	0	0	0	0
stri	Bacteria	Streptacidiphilus sp. DSM 106435	6081	126	0	0	0	0	1428	0	0	0	0
stro	Bacteria	Streptomyces sp. MOE7	7381	127	0	0	0	0	1455	0	0	0	0
strn	Bacteria	Streptococcus sp. NPS 308	1903	95	0	0	0	0	612	0	0	0	0
strm	Bacteria	Streptomyces sp. Mg1	7670	131	0	0	0	0	1534	0	0	0	0
strc	Bacteria	Streptomyces sp. CNQ-509	6852	124	0	0	0	0	1521	0	0	0	0
stra	Bacteria	Streptococcus sp. A12	1818	90	0	0	0	0	615	0	0	0	0
strf	Bacteria	Streptomyces sp. 4F	7087	128	0	0	0	0	1547	0	0	0	0
stre	Bacteria	Streptomyces sp. 769	9677	138	0	0	0	0	1690	0	0	0	0
strd	Bacteria	Streptomyces sp. CCM_MD2014	7384	130	0	0	0	0	1551	0	0	0	0
bamn	Bacteria	Bacillus velezensis UCMB5113	3854	117	0	0	0	0	1290	0	0	0	0
bami	Bacteria	Bacillus amyloliquefaciens IT-45	3985	116	0	0	0	0	1295	0	0	0	0
bamf	Bacteria	Bacillus amyloliquefaciens LFB112	4023	116	0	0	0	0	1291	0	0	0	0
bant	Bacteria	Bacillus anthracis A16	5859	114	0	0	0	0	1426	0	0	0	0
banv	Bacteria	Bacillus anthracis Vollum	5880	114	0	0	0	0	1471	0	0	0	0
